SName,Lat,Lon,Type,Col
BADG ,51.769706,102.234981,IGS,#ff5733
BHR4 ,26.209142,50.608144,IGS,#ff5733
DAEJ ,36.3994,127.3745,IGS,#ff5733
DGAR ,-7.269684,72.37024,IGS,#ff5733
DJIG,11.526288,42.847064,IGS,#ff5733
IISC ,13.021166,77.570376,IGS,#ff5733
MAL2 ,-2.996,40.194,IGS,#ff5733
NTUS,1.3458,103.6799,IGS,#ff5733
POL2 ,42.6798,74.6943,IGS,#ff5733
REUN ,-21.208333,55.571667,IGS,#ff5733
RIO2 ,-53.785472,-67.751119,IGS,#ff5733
RIOG ,-53.785472,-67.751118,IGS,#ff5733
XMIS ,-10.449958,105.688506,IGS,#ff5733
TRIV,8.625609,77.032351,RCG,#086d0e
BOMB,19.139061,72.918869,RCG,#086d0e
DHAN,23.815375,86.443866,RCG,#086d0e
ROPAR,30.96406,76.486348,RCG,#086d0e
IITK,26.521431,80.232141,NCG,#7e09bd
MANI,23.214417,77.407113,RCG,#086d0e
